No;Group;Generic name;Canonical_Smiles;PubChem ID;PubMed ID
A_18;Activator;Arctigenin;COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC;64981;22095235
A_19;Activator;Aripiprazole;C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl;60795;20686905
A_20;Activator;Artemether;CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC)C;45357887;32547132
A_21;Activator;Artesemin sm1044;CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OCCNCCOC5C(C6CCC(C7C68C(O5)OC(CC7)(OO8)C)C)C)C;56655018;29277967
A_22;Activator;Aspalathin;C1=CC(=C(C=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O)O;11282394;27048379
A_23;Activator;Astaxanthin;CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C;5281224;32545395
A_24;Activator;20(S)-protopanaxadiol;CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C;11213350;24747289
A_25;Activator;Astragaloside IV;CC1(C(CCC23C1C(CC4C2(C3)CCC5(C4(CC(C5C6(CCC(O6)C(C)(C)O)C)O)C)C)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(CO8)O)O)O)C;13943297;29713279
A_26;Activator;Atorvastatin;CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4;60823;20876807
A_27;Activator;Atractylenolide III;CC1=C2CC3C(=C)CCCC3(CC2(OC1=O)O)C;155948;28250276
A_28;Activator;Atrazine;CCNC1=NC(=NC(=N1)Cl)NC(C)C;2256;23710432
A_29;Activator;Avermectin;CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C;6858006;34246796
A_30;Activator;Axitinib;CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4;6450551;17690712
A_31;Activator;Azacitidine;C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N;9444;26499184
A_32;Activator;AZD1208;C1CC(CN(C1)C2=C(C=CC=C2C3=CC=CC=C3)C=C4C(=O)NC(=O)S4)N;58423153;30654529
A_33;Activator;23-epi-26-deoxyactein;CC1CC2(C3C(O3)(CO2)C)OC4C1C5(C(CC67CC68CCC(C(C8CCC7C5(C4)C)(C)C)OC9C(C(C(CO9)O)O)O)OC(=O)C)C;10974362;25022210
A_34;Activator;Baicalein;C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O;5281605;31909773
A_35;Activator;Baicalin;C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC4C(C(C(C(O4)C(=O)[O-])O)O)O)O)O;40469168;26166578
A_36;Activator;Bakkenolide B;CC=C(C)C(=O)OC1CCC(C2(C1C(C3(C2)C(=C)COC3=O)OC(=O)C)C)C;11165211;29433360
A_37;Activator;Bakuchiol;CC(=CCCC(C)(C=C)C=CC1=CC=C(C=C1)O)C;5468522;32499702
A_38;Activator;BAM15;C1=CC=C(C(=C1)NC2=NC3=NON=C3N=C2NC4=CC=CC=C4F)F;565708;30505660
A_39;Activator;bavachalcone ;CC(=CCC1=CC(=C(C=C1O)O)C(=O)C=CC2=CC=C(C=C2)O)C;6450879;25766656
A_40;Activator;Belinostat;C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO;6918638;23743198
A_41;Activator;Berbamine;CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)O)OC;275182;32526241
A_42;Activator;Berberine;COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC;2353;22955013
A_43;Activator;Berteroin ;CSCCCCCN=C=S;206037;34087283
A_44;Activator;25-alpha Hydroxymogrol;CC(CCC(C(C)(C)OC)O)C1CCC2(C1(CC(C3(C2CC=C4C3CCC(C4(C)C)O)C)O)C)C;56683668;21893415
A_45;Activator;beta-aminoisobutyric acid;CC(CN)C(=O)O;64956;29592806
A_46;Activator;beta-Elemene;CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C;6918391;25598321
A_47;Activator;Betahistin;CNCCC1=CC=CC=N1;2366;24992721
A_48;Activator;beta-hydroxy-beta-methylbutyrate;CC(C)(CC(=O)O)O;69362;30137075
A_49;Activator;beta-lapachone;CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C;3885;20487243
A_50;Activator;beta-patchoulene;CC1CCC2=C1CC3CCC2(C3(C)C)C;101731;33341045
A_51;Activator;beta-sitosterol;CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C;222284;29559312
A_52;Activator;Betulin;CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO;72326;28518138
A_53;Activator;Betulinic acid;CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O;64971;27048379
A_54;Activator;Bezafibrate;CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl;39042;21499286
A_55;Activator;2-Deoxyglucose;C(C=O)C(C(C(CO)O)O)O;108223;23500541
A_56;Activator;Biochanin A;COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O;5280373;23710432
A_57;Activator;Bisphenol A;CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O;6623;33387880
A_58;Activator;Bortezomib;B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O;387447;24842158
A_59;Activator;Britannin;CC1CC2C(C(C3(C1C(CC3O)OC(=O)C)C)OC(=O)C)C(=C)C(=O)O2;14466541;29288670
A_60;Activator;Brivanib alaninate;CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)OC(=O)C(C)N)C;11154925;34116207
A_61;Activator;Bryodulcosigenin;CC(CCC(C(C)(C)O)O)C1CCC2(C1(CC(=O)C3(C2CC=C4C3CCC(C4(C)C)O)C)C)C;399493;21893415
A_62;Activator;Bryogenin;CC(C)C(=O)CCC(C)C1CCC2(C1(CC(=O)C3(C2CC=C4C3CCC(C4(C)C)O)C)C)C;56659857;21893415
A_63;Activator;Butein;C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O)O;5281222;30184535
A_64;Activator;C128;COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC;377766;27048379
A_65;Activator;2-Hydroxyestradiol;CC12CCC3C(C1CCC2O)CCC4=CC(=C(C=C34)O)O;247304;18421261
A_66;Activator;C129;COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC=C(C=C3)Cl)OC;66549179;27048379
A_67;Activator;C2;C1=C(OC(=C1)P(=O)(O)O)C2=CC(=O)ON2;49870938;29408352
A_68;Activator;caffeamide 36-13;C1CCN(CC1)C(=O)C=CC2=CC(=C(C=C2)O)O;13559589;27048379
A_69;Activator;Caffeamide 36-13;C1CCC(CC1)NC(=O)C=CC2=CC(=C(C=C2)O)O;68085075;27048379
A_70;Activator;caffeic acid;C1=CC(=C(C=C1C=CC(=O)O)O)O;689043;31016689
A_71;Activator;Caffeic acid phenethyl ester;C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O;5281787;32739455 
A_72;Activator;Caffein;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;2519;27048379
A_73;Activator;calcitriol;CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C;5280453;25078626
A_74;Activator;Calebin A;COC1=C(C=CC(=C1)C=CC(=O)COC(=O)C=CC2=CC(=C(C=C2)O)OC)O;637429;26108684
A_75;Activator;Canagliflozin;CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F;24812758;29588466
A_76;Activator;2'-O-Galloylhyperin;C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O;6453359;30849337
A_77;Activator;Capsaicine;CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC;1548943;30987128
A_78;Activator;carnosic acid;CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)O;65126;27716981
A_79;Activator;carnosol;CC(C)C1=C(C(=C2C(=C1)C3CC4C2(CCCC4(C)C)C(=O)O3)O)O;442009;30881359
A_80;Activator;catalpol ;C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O;91520;33510841
A_81;Activator;Catapol;C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O;24721256;29284152
A_82;Activator;catechin;C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O;9064;28063518
A_83;Activator;CDN1163;CC1=NC2=C(C=CC=C2NC(=O)C3=CC=C(C=C3)OC(C)C)C=C1;16016585;30353146
A_84;Activator;Celastrol;CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O;122724;27048379
A_85;Activator;Celecoxib;CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F;2662;29674687
A_86;Activator;Ceramide C6;CCCCCCCCCCCCCC=CC(C(CO)NC(=O)CCCCC)O;5702613;26116623
A_87;Activator;Cercosporamide;CC(=O)C1=C(C=C2C(C1=O)(C3=C(C=C(C(=C3O2)C(=O)N)O)O)C)O;131379;26166578
A_88;Activator;Cheletyrine;C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5;2703;23398362
A_89;Activator;Chelidonin;CN1CC2=C(C=CC3=C2OCO3)C4C1C5=CC6=C(C=C5CC4O)OCO6;197810;32464330
A_90;Activator;CHEMBL1242297;CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC(=C(C=C4)Cl)C(=O)O)S3;135398518;24900695
A_91;Activator;CHEMBL1688230;C1=C(OC(=C1)P(=O)(O)O)C2=CC(=O)ON2;118705576;PubChem Bioassay
A_92;Activator;CHEMBL1829223;CC(C)C(=O)CCC(C)C1CCC2(C1(CC(C3(C2CC=C4C3CCC(C4(C)C)O)C)O)C)C;56666750;21893415
A_93;Activator;CHEMBL1882027;C1=CC=C2C(=C1)C=CC(=N2)C=NC3=CC4=CC=CC=C4N=C3;265479;27727125
A_94;Activator;CHEMBL1944796;C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)C3=C(C(=CC(=C3)Cl)Cl)O;136196563;28233680
A_95;Activator;CHEMBL2032213;COC1=CC=C(C=C1)C2C(C(=O)N2C3=CC(=CC(=C3)OC)OC)O;56963906;22329561
A_96;Activator;CHEMBL2032319;COC1=C(C=C(C=C1)C2C(C(=O)N2C3=CC(=C(C(=C3)OC)OC)OC)O)O;56964010;22329561
A_97;Activator;3,5-Diiodo-L-thyronine;C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I;92859;19116374
A_98;Activator;CHEMBL2153065;CC1=NN(C=C1)C2=C(C3=CC(=C(C=C3NC2=O)Cl)C4=CC=C(C=C4)N5CCCC5)O;71454839;24900402
A_99;Activator;CHEMBL2153066;CC1=NC(=CS1)C2=C(C3=CC(=C(C=C3NC2=O)Cl)C4=CC=C(C=C4)N5CCCCC5)O;71458472;24900402
A_100;Activator;CHEMBL2153067;CC1=CC(=NO1)C2=C(C3=CC(=C(C=C3NC2=O)Cl)C4=CC=C(C=C4)N(C)C)O;136268771;24900402
A_101;Activator;CHEMBL2153068;CC1=C(N=C(S1)C)C2=C(C3=CC(=C(C=C3NC2=O)Cl)C4=CC=C(C=C4)N(C)C)O;71454840;24900402
A_102;Activator;CHEMBL2153069;COC1=CC=CC(=C1)C2=CC=C(C=C2)C3=C(C=C4C(=C3)C(=C(C(=O)N4)N5C=CC=N5)O)Cl;71454841;24900402
A_103;Activator;CHEMBL2323522;COC1=CC2=C(C=C1)N(C3=C2CC(CC3)C(=O)O)C(=O)C4=CC=C(C=C4)Cl;21548774;29525431
A_104;Activator;CHEMBL2337764;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)F)F)SC(F)(F)F;71568402;23414799
A_105;Activator;CHEMBL2337766;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)F)Cl)SC(F)(F)F;71568544;23414799
A_106;Activator;CHEMBL2337767;C1=CC(=C(C(=C1)Cl)F)NC(=O)NC2=CC=C(C=C2)SC(F)(F)F;71568545;23414799
A_107;Activator;CHEMBL2337768;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)SC(F)(F)F;71568546;23414799
A_108;Activator;991;CC1=C(C=C(C=C1)OC2=NC3=NC(=C(C=C3N2)Cl)C4=CC5=C(C=C4)N(C=C5)C)C(=O)O;56932843;29408352
A_109;Activator;3-alpha Hydroxymogrol;CC(CCC(C(C)(C)O)O)C1CCC2(C1(CC(C3(C2CC=C4C3CCC(C4(C)C)O)C)O)C)C;54597624;21893415
A_110;Activator;CHEMBL2337769;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)F)C(F)(F)F)SC(F)(F)F;71568547;23414799
A_111;Activator;CHEMBL2337770;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)F)C#N)SC(F)(F)F;71568548;23414799
A_112;Activator;CHEMBL2337771;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)SC(F)(F)F)Cl)SC(F)(F)F;71568549;23414799
A_113;Activator;CHEMBL2337772;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2F)F)F)SC(F)(F)F;71568662;23414799
A_114;Activator;CHEMBL2337773;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C(=C2)F)F)F)SC(F)(F)F;71568663;23414799
A_115;Activator;CHEMBL2337774;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C(=C2)Cl)Cl)Cl)SC(F)(F)F;71568664;23414799
A_116;Activator;CHEMBL2337775;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C(=C2F)F)F)F)SC(F)(F)F;71568665;23414799
A_117;Activator;CHEMBL2337776;C1=CC(=CC=C1NC(=O)NC2=C(C(=C(C(=C2F)F)C(=O)O)F)F)SC(F)(F)F;71568666;23414799
A_118;Activator;CHEMBL2338226;C1=CC(=CC=C1C(F)(F)F)NC(=O)NC2=CC=C(C=C2)OC(F)(F)F;71568136;23414799
A_119;Activator;CHEMBL2338227;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)SC(F)(F)F)Cl)OC(F)(F)F;71568253;23414799
A_120;Activator;3-iodothyronamine;C1=CC(=CC=C1O)OC2=C(C=C(C=C2)CCN)I;9950514;25372779
A_121;Activator;CHEMBL2338228;C1=CC(=CC=C1NC(=O)NC2=CC(=CC(=C2)F)F)OC(F)(F)F;71568254;23414799
A_122;Activator;CHEMBL2338229;C1=CC(=CC=C1NC(=O)NC2=CC(=CC(=C2)Cl)Cl)OC(F)(F)F;71568255;23414799
A_123;Activator;CHEMBL2338230;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C(=C2)F)F)F)OC(F)(F)F;71568256;23414799
A_124;Activator;CHEMBL2338231;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C(=C2)Cl)Cl)Cl)OC(F)(F)F;71568257;23414799
A_125;Activator;CHEMBL2338232;C1=CC(=CC=C1NC(=O)NC2=CC(=C(C(=C2F)F)F)F)OC(F)(F)F;71568258;23414799
A_126;Activator;CHEMBL2338233;C1=CC(=CC(=C1)SC(F)(F)F)NC(=O)NC2=CC=C(C=C2)C(F)(F)F;71568259;23414799
A_127;Activator;CHEMBL2338234;C1=CC(=CC(=C1)SC(F)(F)F)NC(=O)NC2=CC(=CC(=C2)F)F;71568395;23414799
A_128;Activator;CHEMBL2338235;C1=CC(=CC(=C1)SC(F)(F)F)NC(=O)NC2=CC(=CC(=C2)Cl)Cl;71568396;23414799
A_129;Activator;CHEMBL2338235;C1=CC(=CC=C1NC(=O)NC2=CC(=CC(=C2)F)F)SC(F)(F)F;71568543;23414799
A_130;Activator;CHEMBL2338236;C1=CC(=CC=C1C(F)(F)F)NC(=O)NC2=CC(=C(C(=C2)F)F)F;71568397;28258165
A_131;Activator;3-O-methylquercetin;COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O;5280681;27048379
A_132;Activator;CHEMBL2338237;C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)Cl)SC(F)(F)F;2305285;23414799
A_133;Activator;CHEMBL2338238;C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)SC(F)(F)F;71568398;23414799
A_134;Activator;CHEMBL2338239;C1=CC(=CC=C1C(F)(F)F)NC(=O)NC2=CC=C(C=C2)SC(F)(F)F;71568399;23414799
A_135;Activator;CHEMBL2338240;C1=CC(=CC=C1C#N)NC(=O)NC2=CC=C(C=C2)SC(F)(F)F;71568400;23414799
A_136;Activator;CHEMBL2338241;C1=CC(=CC=C1NC(=O)NC2=CC(=CC(=C2)Cl)Cl)SC(F)(F)F;71568401;23414799
A_137;Activator;CHEMBL2385943;C1=CC=C(C(=C1)C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC(=C(C=C4)Cl)C(=O)O)S3)Cl;136239437;24900695
A_138;Activator;CHEMBL2385944;CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC=CC=C4C(=O)O)S3;136239298;24900695
A_139;Activator;CHEMBL2385944;C1=CC=C(C(=C1)C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC(=C(C=C4)Cl)C(=O)O)S3)[N+](=O)[O-];136260504;24900695
A_140;Activator;CHEMBL2385945;C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC(=C(C=C4)Cl)C(=O)O)S3;136260505;24900695
A_141;Activator;CHEMBL2385946;CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC(=C(C=C4)Cl)C(=O)OC)S3;136239297;24900695
A_142;Activator;4a-Isoalantolactone;CC12CCCC(=C)C1CC3C(C2)OC(=O)C3=C;73285;28736255
A_143;Activator;CHEMBL2385947;CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC=C(C=C4)F)S3;135712639;24900695
A_144;Activator;CHEMBL2385949;CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)NC(=NC4=CC=CC(=C4)C(=O)O)S3;136219261;24900695
A_145;Activator;CHEMBL2385950;CC1=CC(=C(C=C1C)[N+](=O)[O-])C2=CC=C(O2)C=C3C(=O)N(C(=S)S3)C4=CC=CC(=C4)C(=O)O;73356508;24900695
A_146;Activator;CHEMBL2385952;C1=CC=C2C(=C1)C(=CC3=CC=C(O3)C4=CC(=C(C=C4)F)Cl)C(=O)N2CC5=CC(=CC=C5)C(=O)O;71655487;24900695
A_147;Activator;CHEMBL2386114;C1=CC=C(C=C1)C(=C2C3=CC=CC=C3N(C2=O)CC4=CC(=CC=C4)C(=O)O)C5=CC=C(C=C5)Cl;51033997;24900695
A_148;Activator;CHEMBL2386115;C1=CC=C(C=C1)C(=C2C3=CC=CC=C3N(C2=O)CC4=CC(=CC=C4)C(=O)O)C5=CC=CC=C5Cl;51035679;24900695
A_149;Activator;CHEMBL2386116;CC(C)C1=CC=C(C=C1)C(=C2C3=CC=CC=C3N(C2=O)CC4=CC(=CC=C4)C(=O)O)C5=CC=CC=C5;51034436;24900695
A_150;Activator;CHEMBL2386119;CC(C)C(=C1C2=CC=CC=C2N(C1=O)CC3=CC(=CC=C3)C(=O)O)C4=CC=C(C=C4)Cl;51034776;24900695
A_151;Activator;CHEMBL2386121;CC(C)C(=C1C2=CC=CC=C2N(C1=O)CC3=CC(=CC=C3)C(=O)O)C4=CC=CC=C4;73353437;24900695
A_152;Activator;CHEMBL2386122;C1=CC=C(C=C1)C(=C2C3=CC=CC=C3N(C2=O)CC4=NC=C(C=C4)C(=O)O)C5=CC=C(C=C5)Cl;51034106;24900695
A_153;Activator;4-hydroxyderricin;CC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C;6438503;27048379
A_154;Activator;CHEMBL2408227;COC1=CC=C(C=C1)C2=CC=C(C=C2)N3C=CC4=C3C(=C(C(=O)N4)C#N)O;67052880;24900722
A_155;Activator;CHEMBL2408228;COC1=CC=CC(=C1)C2=CC=C(C=C2)N3C=CC4=C3C(=C(C(=O)N4)C#N)O;54727462;24900722
A_156;Activator;CHEMBL2408229;COC1=CC=CC=C1C2=CC=C(C=C2)N3C=CC4=C3C(=C(C(=O)N4)C#N)O;67052868;24900722
A_157;Activator;CHEMBL2408229;C1=CC=C(C(=C1)C2=CC=C(C=C2)N3C=CC4=C3C(=C(C(=O)N4)C#N)O)O;67052901;24900722
A_158;Activator;CHEMBL2408230;COC1=CC=CC(=C1O)C2=CC=C(C=C2)N3C=CC4=C3C(=C(C(=O)N4)C#N)O;68008363;24900722
A_159;Activator;CHEMBL2408231;COC1=CC=CC(=C1O)C2=CC=C(C=C2)N3C(=CC4=C3C(=C(C(=O)N4)C#N)O)Cl;67052905;24900722
A_160;Activator;CHEMBL2408232;CC1=CC=C(C=C1)C2=CC=C(C=C2)N3C(=CC4=C3C(=C(C(=O)N4)C#N)O)Cl;67052881;24900722
A_161;Activator;CHEMBL2408233;C1=CC(=CC=C1C2=CSC=C2)N3C(=CC4=C3C(=C(C(=O)N4)C#N)O)Cl;67052923;24900722
A_162;Activator;CHEMBL2408234;CCC1=CC=C(C=C1)N2C(=CC3=C2C(=C(C(=O)N3)C4=CC=CC=C4)O)Cl;54727513;24900722
A_163;Activator;CHEMBL2408235;COC1=CC=CC(=C1O)C2=CC=C(C=C2)N3C(=CC4=C3C(=C(C(=O)N4)C5=CC=CC=C5)O)Cl;54727473;24900722
A_164;Activator;4-Hydroxyisoleucine;CC(C(C)O)C(C(=O)O)N;2773624;27048379
A_165;Activator;CHEMBL2408236;COC1=CC=CC(=C1O)C2=CC=C(C=C2)N3C(=CC4=C3C(=C(C(=O)N4)C5=CC(=CC=C5)C(=O)O)O)Cl;54727470;24900722
A_166;Activator;CHEMBL3344045;CC1=CC2=C(C(=C1)OC)C(=[N+]3N2CCCC3)C4=CC=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O;102103091;25299458
A_167;Activator;CHEMBL3393123;C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=C4C(=CC=C3)NC(=O)C(=C4O)C#N)O;54746301;25122135
A_168;Activator;CHEMBL3393124;C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C(=C(C(=O)N4)C#N)O)O;135867910;25122135
A_169;Activator;CHEMBL3393128;CC1=C(C=C(C=C1)OC2=NC3=C(N2)C=C(C(=C3)C4=CC=C(C=C4)C5=CC=CC=C5O)Cl)C(=O)O;118053829;PubChem Bioassay
A_170;Activator;CHEMBL3393129;CN1C=CC2=C1C=CC(=C2)C3=CC4=C(C=C3Cl)NC(=N4)OC5=CC(=CC=C5)P(=O)(O)O;45273893;25122135
A_171;Activator;CHEMBL3393130;COC1=CC(=C(C=C1)C2=NC3=C(N2)C=C(C(=C3)C4=CC=C(C=C4)N5CCCC5)Cl)P(=O)(O)O;118725336;25122135
A_172;Activator;CHEMBL3393131;C1CC(CCC1C(=O)O)OC2=NC3=C(C(=C(C=C3N2)F)C4=CC5=C(C=C4)N(C=C5)C6CC6)F;53372240;PubChem Bioassay
A_173;Activator;CHEMBL3393132;C1C(C1C(=O)O)COC2=NC3=C(C(=C(C=C3N2)F)C4=CC=C(C=C4)C5=CC=CC=C5)F;53372379;25122135
A_174;Activator;CHEMBL3393133;C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=CC4=C(C=C3Cl)NC(=N4)SCC(=O)O)O;45375932;PubChem Bioassay
A_175;Activator;4-nonylphenol;CCCCCCCCCC1=CC=C(C=C1)O;1752;28041982
